transcript,label
这是DHL国际快递最后语音通知 您有一份重要快件派送均无人签收 了解详情请按9 请按9 由人工客服为您服务 这是DHL国际快递最后语音通知 您有一份重要快件派送均无人签收 了解详情请按9 请按9 由人工客服为您服务 ,fraud
"This is an important call regarding illegal enforcement action being executed under your name for suspicious fraudulent activities carried out using your identity. The court has issued a suspension notice along with a warrant against your name. Ignoring this message will be an intentional second attempt to avoid initial appearance before a magistrate, judge or grand jury for a federal criminal offense. This is the final attempt to reach you. For more information, press 1 and hold for the next available officer. ",fraud
"your identity. The court has issued a suspension notice along with warrant against your name. Ignoring this message will be an intentional second attempt. To avoid initial appearance before a magistrate, judge, or grand jury for federal criminal offense, this is the final attempt to reach you. For more information, press 1 and hold for the next available officer. ",fraud
"Before using any financial accounts, please contact Apple Support Advisor. Press 1 to connect with Apple Support Advisor. Press 2 to listen to this message again. Thank you. ",fraud
related to your name. We are trying to reach you but unfortunately we missed your answer. In order to connect our legal department press 1 so that we can discuss about your case file and take necessary action on this matter. In case we would not hear from you then you will face some legal consequences. To connect now press 1 and you will be automatically connect to the concerned department. By this call you have been officially notified. Thank you. ,fraud
"Officer Amanda Barnes and the purpose of the call we are trying to reach you to let you know that your social security number has been used for some kind of fraudulent activities in the south border of Texas, so please in order go ahead get more information. To speak with Officer press 1. I repeat press 1. Thank you and have a great day. ",fraud
"This is an important call regarding a legal enforcement action being executed under your name for suspicious and fraudulent activities carried out using your identity. The court has issued a suspension notice along with a warrant against your name. Ignoring this message will be an intentional second attempt to avoid initial appearance before a magistrate, judge or grand jury for a federal criminal offense. This is the final attempt to reach you. For more information, press 1 and hold for the next available officer. ",fraud
"You now qualify for 0% interest rate on all your credit card account. This is the limited time offer, and you must respond immediately. Press 1 now to speak to our qualification department and complete the enrollment process. ",fraud
"This call is from Department of Social Security Administration. The reason you have received this phone call from our department is to inform you that we just suspend your social security number because we found some suspicious activity. So if you want to know about this case, just press 1. Thank you. ",fraud
"Thank you for connecting. I am the virtual assistant for Margaret Smith with Central Processing Center for Federal Back Tax Negotiations. The purpose of her call was to make you aware that the government suspended the Tax Collection Act and will settle all old tax debts that U.S. residents may have. This means you are not going to need to pay back your past due taxes since they are non-collectible and ready to be settled. Using our automated approval technology, you are now able to obtain enrollment information based on your current situation. To use our AI automation and find the program you are interested in, please visit us at www.cdc.gov.au. ",fraud
"Hello, this call is from Microsoft Help Center. We encounter a serious issue coming out of your computer. It seems to be someone is trying to hijack your identity and try to steal your social security number and personal information. If it's not fixed right away then your computer will become obsolete and all of your credential information may got compromised. If you are the one who is using Microsoft Windows in your computer, then please press 7 now to speak with security team now. Please ignore if we called you by mistake. Thanks. ",fraud
"Hello, this is Amazon. This call is to authorize a payment of $999. We would like to inform you that there is an order placed for App iPhone 11 Pro using your Amazon account. If you do not authorize this order, press 1 or press 2 to authorize this order. ",fraud
"SEDEX International Express will inform you for the last time, that you have a parcel that has been delivered twice, and no one has signed for it. For English inquiries, please press 1, and Chinese please press 2. SEDEX International Express will inform you for the last time, that you have a parcel that has been delivered twice, and no one has signed for it. For English inquiries, please press 1, and Chinese please press 2. ",fraud
"Hi, this is an automated message from the Disconnection Department of Pacific Gas and Electric, Electricity Company. This call is to inform you that your power will get disconnected in 30 minutes due to a pending balance on the account. If you need to speak with a representative for further information, please press 1. Thank you for choosing Pacific Gas and Electric. Goodbye. ",fraud
"Hello, this is Amazon. This call is to authorize a payment of $999. We would like to inform you that there is an order placed for Apple iPhone 11 Pro using your Amazon account. If you do not authorize this order, press 1 or press 2 to authorize this order. ",fraud
"We are calling you from the Department of Social Security Administration. The reason you received this phone call from our department is to inform you that there is a legal enforcement action filed on your Social Security number for fraudulent activities. So, when you get this message, kindly press 1 to connect with the next available officer. Thank you. ",fraud
"calling you from the legal department, the very second you receive this message you need to leave your work aside, so that we can discuss about your case and take necessary action on this matter. In order to connect federal agent press 1 and you will be connected to the concerned department. If we don't hear from you, then we will be forced to take legal action against you. Press 1 and you will be connected to the concerned department. ",fraud
"We are calling you from the Department of Social Security Administration. The reason you have received this phone call from our department is to inform you that there is illegal information filed on your social security for fraudulent activities. So, when you get this message, kindly press 1 to connect with the next available officer. Thank you. ",fraud
"Hi there, I'm calling you from AT&T Direct TV to let you know that your existing account is qualified for 50% off. In order to avail the discount, kindly call us back at 888-604-0734 from 8am to 5pm Pacific Standard Time. Thank you and have a great day. ",fraud
"We would like to inform you that there is an order placed for Apple iPhone 11 Pro using your Amazon account. If you do not authorize this order, press 1 or press 2 to authorize this order. ",fraud
"trying to reach you to let you know that your social security number has been used for some kind of fraudulent activities in the South border of Texas. So please in order go ahead, get more information to speak with officer press one. I repeat press one. Thank you and have a great day. ",fraud
"Hello. This call is to inform you that a pre-authorized order has been placed on your name. So to authorize the order, or to talk to our representative, please press 1 or stay on the line. Thank you. Goodbye. ",fraud
"This is Susie calling with the Vehicle Service Department. We are calling about your vehicle's manufacturer's warranty. We sent you several notices in the mail that you have yet to extend your warranty past the factory cutoff. And this is a courtesy call to renew your warranty before we close the file. If you are interested in renewing your auto warranty now, please press five now or press nine to be removed from our list. ",fraud
"Hello, this is Amazon. This call is to authorize a payment of $999. We would like to inform you that there is an order placed for Apple iPhone 11 Pro using your Amazon account. If you do not authorize this order, press 1 or press 2 to authorize this order. ",fraud
Administration. The reason you receive this phone call from our department is to inform you that there is a legal enforcement action filed on your social security number for fraudulent activities. So when you get this message kindly press 1 to connect with the next available officer. Thank you. ,fraud
"is to inform you that there is a legal enforcement actions files on your social security number for illegal and fraudulent activity. In order to connect a federal agent, press 1 and you will be connected to the concerned department. If we don't hear from you, your social will be blocked permanently. So once you receive this message, press 1 and talk to the officer from Social Security Administration. Thank you. ",fraud
"Thank you for choosing Hilton Hotels. We would like to inform you that thanks to the Friends and Family Rewards program, your membership is drawn to receive a complimentary stay. For further details, press 1 now. To be placed on the Do Not Call list, press 2 now. ",fraud
"Hi there, I'm calling you from Comcast Xfinity to let you know that your existing account is qualified for 50% off. In order to avail the discount, kindly call us back at 844-264-1142 from 8 a.m. to 5 p.m. Pacific Standard Time. Thank you, and have a great day. ",fraud
"from our department is to inform you that there is a legal enforcement action filed on your social security number for fraudulent activities. So, when you get this message, kindly press 1 to connect with the next available officer. Thank you. ",fraud
"Sydex国际快递最后一次通知您,您有一个快件已派送两次无人签收,如需查询英文请按1,中文请按2。 ",fraud
Congratulations on your excellent payment history. You now qualify for a 0% interest rate on all your credit card accounts. This is a limited time offer and you must respond immediately. Press 1 now to speak to our qualification department and complete the enrollment process. ,fraud
"This message is provided by the Administration of Energy Saving. The state has now set aside $1.3 billion. Your home is eligible for up to $10,000 to use for clean energy upgrades for exterior paint, new windows, HVAC, drought collar landscaping, cool roof, and solar. To find out how much your home is qualified for, press 1. If your home has already been qualified, press 9. ",fraud
name is officer Amanda Barnes and the purpose of the call we are trying to reach you to let you know that your social security number has been used for some kind of fraudulent activities in the south border of Texas so please in order go ahead get more information to speak with officer press one I repeat press one thank you and have a great day ,fraud
"This call is from U.S. Customs and Border Protection. The reason of this call is to inform you about a package has been seized under your name by U.S. Customs and Border Protection with contraband of drugs and cash. So the moment you receive this call, press 1 to speak with the CBP officer. I repeat press 1 to speak with CBP officer. Thank you. Goodbye. ",fraud
"How are you doing today? Glad to hear that. Well, DirecTV is offering 50% discount to all of its existing customers. Do you have a moment to speak so I can go ahead and apply the discounts on your account? ",fraud
"order placed for Apple iPhone 11 Pro using your Amazon account. If you do not authorize this order, press 1 or press 2 to authorize this order. ",fraud
"Hello, this is Amazon. This call is to authorize a payment of $999. We would like to inform you that there is an order placed for Apple iPhone 11 Pro using your Amazon account. If you do not authorize this order, press 1 or press 2 to authorize this order. ",fraud
"12 Pro using your Amazon account if you do not authorize this order and to refund your amount press 1, or press 2 to authorize this order. ",fraud
"Hi there, I'm calling you from AT&T Direct TV to let you know that your existing account is qualified for 50% off. In order to avail the discount, kindly call us back at 855-457-7745 from 8 a.m. till 9 p.m. Pacific Standard Time. Thank you and have a great day. ",fraud
"Hello, this call is from So, Shell, C, Cure, T, Noom, Burr. We have found some Sooths, P, C, Us, Act, T, Witty under your name. Please press 1 now to speak with presenters. Thank you. ",fraud
"To inform you that you will be experiencing a disconnection of service today within 30 minutes due to non-payment on the account, please press one to speak with a representative. Please press one. Thank you. Greetings. This is an automated message from the Disconnection Department of Jersey Central Power and Light Electricity Company. To inform you that you will be experiencing a disconnection of service today within 30 minutes due to non-payment on the account, please press one to speak with a representative. Please press one. Thank you. ",fraud
"Hello, I am an artificial intelligent notification bot. The purpose of this call is to make you aware that a recent lawsuit settlement now requires the IRS to settle all old tax debt that any US residents currently have. This means you do not need to pay back your past due taxes as they are temporarily non-collectible and can be forced into a settlement on your behalf. Using our automated approval technology, you are now able to obtain enrollment information based on your current situation. Use our AI automation and find the program you are approved. ",fraud
"Hello, this is Amazon. This call is to authorize a payment of $999. We would like to inform you that there is an order placed for Apple iPhone 11 Pro using your Amazon account. If you do not authorize this order, press 1 or press 2 to authorize this order. ",fraud
"Due to some suspicious activities related to your social security number, we are forced to suspend your social security number with immediate effect. In case you feel this is an error, you may connect to the legal department of social security administration. In order to connect a social security administration officer, press 1. In case we do not hear from you, your social will be blocked permanently. To connect now, press 1, and you will be automatically connected to the concerned department. ",fraud
"Hi, this call is from PayPal, we've noticed, unusual login activity from four different devices and locations you don't usually use. Multiple transaction of $499 for Google Play gift card, has been processed, and it will be deducted from your account soon. Was this you? If you haven't authorize these transaction then press 1 to speak to one of our representatives, thank you. ",fraud
"been seized under your name by U.S. Customs and Border Protection, with contraband of drugs and cash. So the moment you receive this call, press 1 to speak with the CBP officer, I repeat press 1 to speak with CBP officer. Thank you. ",fraud
"to inform you that your social security number is going to be suspended for committing some fraudulent and suspicious activity in the state of Texas. So to find out more information and to resolve it, kindly press 1. ",fraud
"This is the notifications department from your electric company service provider. You have an automatic interruption of service in the next 30 to 45 minutes due to delinquent account status. If you find this to be an error or would like to stop the interruption, please press 1 to speak with the billing department. Otherwise, please press 2 to speak with the disconnections department. Thank you for choosing your services. ",fraud
6% on your credit card. Please press 1 to speak with a live operator and get the confirmation code. ,fraud
"My name is officer Amanda Barnes and the purpose of the call, we are trying to reach you to let you know that your social security number has been used for some kind of fraudulent activities in the south border of Texas. So please in order go ahead, get more information to speak with officer press one. I repeat press one. Thank you and have a great day. ",fraud
"Hi, it's Emma Miller on Friday, February 3rd. I'm calling about the suspension on federal student loan repayment. If you have a debit balance of your loan, you will have to resume paying back. Now is your chance to get into a program so that you can qualify for the $10,000 debt elimination. If you want to be included in the program, call us back at this number before 5 p.m. today. If you'd like to opt out of these reminders, please do let us know so I can remove you from these calls. ",fraud
"Hello. You have been contacted from Amazon. This call is in regard to authorize a payment of $299. We would like you to inform that there has been an order place for an Apple iPhone 11 Pro using your account. If you do not authorize, then press 1 to speak our representative or press 2 to authorize. Thank you. ",fraud
"Hello. You have been contacted from Amazon. This call is in regard to authorize a payment of $299. We would like you to inform that there has been an order place for an Apple iPhone 11 Pro using your account. If you do not authorize, then press 1 to speak our representative or press 2 to authorize. Thank you. ",fraud
"This is Susie calling with the Vehicle Service Department. We are calling about your vehicle's manufacturer's warranty. We sent you several notices in the mail that you have yet to extend your warranty past the factory cutoff. And this is a courtesy call to renew your warranty before we close the file. If you are interested in renewing your auto warranty now, please press five now or press nine to be removed from our list. Hi, this is Susie calling with the Vehicle Service Department. We are calling about your vehicle's manufacturer's warranty. We sent you several notices in the mail that you have yet to extend your warranty past the factory cutoff. ",fraud
"Hi, this is the alert system with Visa MasterCard account services with important changes to your account before the next billing cycle. Congratulations on your excellent payment history. You now qualify for a 0% interest rate on all your credit card accounts. This is a limited time offer and you must respond immediately. Press 1 now to speak to our qualification department and complete the enrollment process. ",fraud
"Hi, I'm calling you from your Satellite TV provider to let you know that your account is qualified for 50% off. In order to obtain the discount, kindly call us back on the number you see on your caller ID. Thank you, and have a great day. ",fraud
"A pre-authorized purchase of an Apple MacBook Pro and an Apple AirPods is being ordered from your Amazon account for an amount of $1,537.35. To cancel your order or to connect with one of our customer support representative, please press 1. ",fraud
call from our department is to inform you that there is a legal enforcement action filed on your social security number for fraudulent activities. So when you get this message kindly press 1 to connect with the next available officer. Thank you. ,fraud
"related to your name, we are trying to reach you, but unfortunately we missed your answer. In order to connect our legal department, press 1. So that we can discuss about your case file and take necessary action on this matter. In case we would not hear from you, then you will face some legal consequences. To connect now press 1, and you will be automatically connect to the concerned department. By this call, you have been officially notified. Thank you. ",fraud
Hello. This is just a test call. Time to stay home. Stay safe and stay home. ,fraud
"Hi, my name is Jason, calling you from Energy Advocates. How are you today? What I would like to do is tell you a little about the solar program. The benefits, tax rebates, and grants from the government that typically mean going solar is absolutely free for most people. I understand you are the homeowner of a single family regular house, right? Hello? How are you today? ",fraud
Social Security Administration. The reason you receive this phone call from our department is to inform you that there's a legal enforcement action filed on your social security number for fraudulent activities. So when you get this message kindly press 1 to connect with the next available officer. Thank you. ,fraud
"Hello. I am an artificial intelligent notification bot. The purpose of this call is to make you aware that as a U.S. resident, you are now able to take advantage of alternative federal student loan repayment options and hardship programs. These programs are only for individuals who have less than $160,000 in federal student loan debt. Having debt obligations may cause a hardship when added to your overall monthly bills. Using our automated approval technology, you are now able to obtain enrollment information based on your current situation. ",fraud
"Fargo is on hold due to suspicious activities. If you did not apply to open a business account with us, then press 1 and speak with one of our representatives to report identity theft. But if you applied for it, then you are required to visit one of our nearest branches to complete the verification. I repeat, press 1 if you did not apply for it. Thank you. ",fraud
"This is an important call regarding a legal enforcement action being executed under your name for suspicious and fraudulent activities carried out using your identity. The court has issued a suspension notice along with a warrant against your name. Ignoring this message will be an intentional second attempt to avoid initial appearance before a magistrate, judge or grand jury for a federal criminal offense. This is the final attempt to reach you. For more information, press 1 and hold for the next available officer. ",fraud
"Pro on your account, which is billed on your card attached to your Amazon account. The amount charged in $1,499. We noticed some suspicious activity on your account, so we have put in hold to this transaction. Please press 1 now. And to report, please press 2. Thank you. ",fraud
"some suspicious activities related to your social security number, we are forced to suspend your social security number with immediate effect. In case you feel this is an error, you may connect to the legal department of social security administration. In order to connect a social security administration officer, press 1. In case we did not hear from you, your social will be blocked permanently. To connect now, press 1 and you will be automatically connected to the concerned department. ",fraud
"11 Pro on your account, which is billed on your card attached to your Amazon account. The amount charged in $1,499. We noticed some suspicious activity on your account, so we have put in hold to this transaction. Please press 1 now, and to report please press 2. Thank you. ",fraud
"Hi, this is Vanessa, and I'm giving you a call from the Dealer Service Center. We recently noticed your car's extended warranty was going to expire and wanted to give you one final courtesy call before your warranty expires and your coverage is voided. This would make you financially responsible for all service repairs. Press 1 now if you wish to extend or reinstate your car's warranty. Once again, press 1 now or press 2 to be placed on the DNC or call 833-304-1447. ",fraud
"you that there is an order placed for Apple iPhone 11 Pro using your Amazon account. If you do not authorize this order, press 1 or press 2 to authorize this order. ",fraud
name is Officer Amanda Barnes and the purpose of the call we are trying to reach you to let you know that your social security number has been used for some kind of fraudulent activities in the south border of Texas. So please in order go ahead get more information. To speak with officer press one. I repeat press one. Thank you and have a great day. ,fraud
"Department of Social Security Administration, the reason you have received this phone call from our department is to inform you that there's a legal enforcement actions filed on your social security number for fraudulent activities. So when you get this message, kindly call back at the earliest possible on our number before we begin with the legal proceedings, that is 985-602-2013. Thank you. ",fraud
"but unfortunately we missed your answer. In order to connect our legal department, press one. So that we can discuss about your case file and take necessary action on this matter. In case we would not hear from you, then you will face some legal consequences. To connect now press one, and you will be automatically connect to the concerned department. By this call, you have been officially notified. Thank you. ",fraud
"Dear customer, this is Marni from Amazon. We have noticed some fraudulent activities on your Amazon account regarding some unauthorized charge of $1,500 from unknown IP address coming from Albany, New York. Kindly press 1 to talk to our Amazon security department. Thank you. ",fraud
"have an automatic interruption of service in the next 30 to 45 minutes due to delinquent account status. If you find this to be an error, or would like to stop the interruption, please press 1 to speak with the billing department. Otherwise, please press 2 to speak with the disconnection department. Thank you for choosing our services. ",fraud
"you numerous times by mail and now by phone in regards to policy benefits offered through your Medicare plan. If you do not act soon, we will label you ineligible for these benefits. To speak to a local specialist or to learn more about these benefits, please press 1. To be removed from our call list, please press 9. This is Susan, your local patient advocate. This is an urgent message for all patients currently on Medicare. We have tried to reach you numerous times by mail and now by phone in regards to policy benefits offered through your Medicare plan. If you do not act soon, we will label you ineligible for these benefits. To speak to a local specialist or to learn more about these benefits, please press 1. To be removed from our call list, please press 9. This is Susan, your local patient advocate. This is an urgent message for all patients currently on Medicare. We have tried to reach you numerous times by mail and now by phone in regards to policy benefits offered through your Medicare plan. If you do not act soon, we will label you ineligible for these benefits. To speak to a local specialist or to learn more about these benefits, please press 1. To be removed from our call list, please press 9. ",fraud
"below 6 on your credit card, so please press 1 to speak with live operator and get the confirmation number. ",fraud
"The reason you are receiving this phone call is to inform you that we will be suspending your social security number because we found some suspicious activities on your social security. If you want more information about this case, press 1. Thank you. ",fraud
"aside so that we can discuss about your case and take necessary action on this matter. In order to connect federal agent press 1 and you will be connected to the concerned department. If we don't hear from you, then we will be forced to take legal action against you. Press 1 and you will be connected to the concerned department. ",fraud
"or Apple iPhone 11 Pro using your Amazon account. If you do not authorize this order, press 1 or press 2 to authorize this order. ",fraud
"Hello, hi this is Ami from Cash App Support. This is an important security message that in regards to your Cash App account. Our server have detected some suspicious activities on your Cash App account as a result we have blocked all access to your account to prevent data bridge. Please do not use Cash App account until you speak with Cash App Support representative. Please refrain using any financial activity on your account. In order to speak with in Cash App representative right now press 1 or please call on 415-688-6201. ",fraud
"of $999. We would like to inform you that there is an order placed for Apple iPhone 11 Pro using your Amazon account. If you do not authorize this order, press 1 or press 2 to authorize this order. ",fraud
"trying to reach you to let you know that your social security number has been used for some kind of fraudulent activities in the south border of Texas, so please in order go ahead get more information. To speak with officer press 1. I repeat press 1. Thank you and have a great day. ",fraud
You have been qualified to drop down your interest rate below 6 percent on your credit card. Press 1 to speak with a live operator and get the confirmation code. ,fraud
"This phone call from our department is to inform you that there's a legal enforcement actions filed on your social security number for fraudulent activities. In order to connect federal agent press 1 and you will be connected to the concerned department. If we don't hear from you, your social will be blocked permanently. Press 1 and you will be connected to the concerned department. ",fraud
"Social Security number has been used for some kind of fraudulent activities in the south border of Texas, so please in order go ahead get more information. To speak with officer press 1. I repeat press 1. Thank you and have a great day. ",fraud
"SEDEX International Express will inform you for the last time, that you have a parcel that has been delivered twice, and no one has signed for it. For English inquiries, please press 1, and Chinese please press 2. SEDEX International Express will inform you for the last time, that you have a parcel that has been delivered twice, and no one has signed for it. For English inquiries, please press 1, and Chinese please press 2. ",fraud
"Thank you for choosing MasterCard, Visa, and Discover. As our way of saying thanks, we'd like to reward you for making your payments in a timely fashion. We're excited to inform you that you're now eligible to qualify for 0% interest rates on your existing credit card accounts. If you still owe more than $5,000 in total credit card debt, press the number 1 to qualify for lower interest, lower payments, and cash back benefits for your most recent purchases. Press 1 now for more information. ",fraud
"The court has issued a suspension notice along with a warrant against your name. Ignoring this message will an intentional second attempt to avoid initial appearance before a magistrate, judge or grand jury for federal criminal offense. This is the final attempt to reach you. For more information press 1 and hold for the next available officer. Press 1 right now. ",fraud
"on our do not call list. Press one to speak with someone about possibly extending or reinstating your car's warranty. Again, press one to speak with a warranty specialist. Call your car at 800-833-304-1447. ",fraud
"The court has issued a suspension notice along with a warrant against your name. Ignoring this message will an intentional second attempt to avoid initial appearance before a magistrate, judge or grand jury for federal criminal offense. This is the final attempt to reach you. For more information press 1 and hold for the next available officer. Press 1 right now. ",fraud
"leave your work aside, so that we can discuss about your case and take necessary action on this matter. In order to connect federal agent press 1 and you will be connected to the concerned department. If we don't hear from you, then we will be forced to take legal action against you. Press 1 and you will be connected to the concerned department. ",fraud
"Hi, this is Lisa Williams with the Student Services Department. I'm following up regarding your Outstanding Federal Student Loan Balance. We have been trying to reach you because of the changes made for 2022, you're eligible for Federal Student Loan Forgiveness Programs. It is imperative that we speak with you as soon as possible since the Federal Student Loan payment delay is about to come to an end. You can reach us directly to discuss your options at 833-631-7908. Again, that's 833-631-7908. Thank you. ",fraud
"Hi there, I'm calling you from Comcast Xfinity to let you know that your existing account is qualified for 50% off. In order to avail the discount, kindly call us back at 844-708-0761 from 8 a.m. to 5 p.m. Pacific Standard Time. Thank you, and have a great day. ",fraud
"minutes due to delinquent account status. If you find this to be an error or would like to stop the interruption, please press 1 to speak with the billing department. Otherwise, press 2 to speak with the disconnection department. Thank you for choosing our services. ",fraud
"This call is from Department of Social Security Administration. The reason you have received this phone call from our department is to inform you that we just suspend your Social Security number because we found some suspicious activity. So if you want to know about this case, just press 1. Thank you. ",fraud
"The court has issued a suspension notice along with a warrant against your name. Ignoring this message will an intentional second attempt to avoid initial appearance before a magistrate, judge or grand jury for federal criminal offense. This is the final attempt to reach you. For more information press 1 and hold for the next available officer. That's one right now. ",fraud
"and suspended due to suspicious activity. Someone order an iPhone X from your Amazon account, which will charge you $899. If you did not authorize this order, then press 1 for Amazon support. Thank you. ",fraud
"Thanks for choosing Amazon, this call is regarding your purchase of $999 for iPhone 13 Pro Max. If you not approve this transaction please press 1. If you approve this transaction please press 2. ",fraud
"This is Amazon. This call is to authorize the payment of $1499, or the recent order of Apple MacBook Pro on your Amazon account. If you do not authorize this payment, please press 1 to speak to our customer support representative. ",fraud
"trying to reach you to let you know that your social security number has been used for some kind of fraudulent activities in the south border of Texas, so please in order go ahead get more information. To speak with officer press 1. I repeat press 1. Thank you and have a great day. ",fraud
"Hello, this is Amazon. This call is to authorize a payment of $999. We would like to inform you that there is an order placed for Apple iPhone 11 Pro using your Amazon account. If you do not authorize this order, press 1 or press 2 to authorize this order. Please say your name, the legal name of the entity responsible for the call, and your contact address and phone number. ",fraud
